index,Title,Author,Year,Topic_old,Topic_new,Subtopic #1,Subtopic #2,Goal_old,Goal_new,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Tool,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
,Molecular Soundscapes,Shelly Knotts,2017,,Life Sciences,Chemistry,,,Art,,,,,,,Parameter Mapping,,,1,https://vimeo.com/219101695,,,,,,Molecular Soundscapes
,Aurelia 1 + Hz / Proto viva Sonification,Robertina Šebjanič,2016,,Life Sciences,Biology,,,Art,,,,,,,Parameter Mapping,,,1,https://vimeo.com/126787314,,,,,,Aurelia
,Victims of US gun shooting,Sophie Chou,2017,Mass Shooting,Mass Shooting,,,Data Journalism,Data Journalism,Public,,Radio Streaming,,No,No,Parameter Mapping,,,,https://soundcloud.com/theworld/the-sound-of-gun-violence-in-america,,Sonification is on Soundcloud,No,,,Victims of US gun shooting
,Las Vegas Shooting,The New York Times,2017,Mass Shooting,Mass Shooting,,,Data Journalism,Data Journalism,,,,,,,Parameter Mapping,,,,https://www.nytimes.com/interactive/2017/10/02/us/vegas-guns.html,,,,,,Las Vegas Shooting
,A Sonic Memorial,Reveal News,2016,Mass Shooting,Mass Shooting,,,Data Journalism,Data Journalism,Public,,Player,,No,No,Parameter Mapping,,,,https://www.revealnews.org/blog/a-sonic-memorial-to-the-victims-at-orlandos-pulse-nightclub/,,Sonification is on Soundcloud,No,,,A Sonic Memorial
,"Overmorrow, Gun violence in US",Rachel Devorah,2014,Mass Shooting,Mass Shooting,,,Publi Engagement,Public Engagement,Public,,Player,Public Venue (live performance),No,No,Parameter Mapping,,,,http://racheldevorah.studio/works/overmorrow/,,Sonifcation is a video on the author's webpage,http://racheldevorah.studio/works/overmorrow/,,,Overmorrow. Gun violence in US
,Distance from Home,Brian Foo,2015,Migrations,Migrations,,,Art,Art,Public,,Player,,Yes,No,Parameter Mapping,,,,https://vimeo.com/132833445,,Sonifcation is a video,https://vimeo.com/132833445,https://datadrivendj.com/tracks/refugees/,,Distance from Home
,The Zones Project - Lost at Sea,Stephen Roddy,2015,Migrations,Migrations,,,,Art,,,,,,,Parameter Mapping,,n,,,,Cannot listen to the sonification,No,,,The Zones Project - Lost at Sea
,Sounding out the border wall,Jim Briggs and Michael Corey - Reveal,2017,,Migrations,,,,Data Journalism,,,,,,,Parameter Mapping,,,1,https://goo.gl/2Yfr1R,,,,,,n
,The Sounds of Migration,"Kitti Balogh, Zoltan Varju",2016,,Migrations,,,,Research,,,,,,,Parameter Mapping,,,1,https://zolizoli.github.io/sonification/index.html,,,,,,Sounds of Migrations
,The Masked Scales: Sonification of COVID19 Lockdown,Artash Nath and Arushi Nath,2020,Transportation,Mobility,,,Public Engagement,Public Engagement,,1,,,,,Parameter Mapping,,,,https://hotpoprobot.com/2020/08/04/we-are-the-global-winners-of-2020-nasa-spaceapps-covid-19-challenge-our-7-years-journey/,,,,,,The Masked Scales - Sonification of COVID19 Lockdown
,Commute,Ludovic Riffault,2018,Transportation,Mobility,,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,,https://commute.dataveyes.com/,,,,,,Commute
,Two Trains,Brian Foo,2015,Transportation,Mobility,,,Art,Art,Public,,Player,,Yes,No,Parameter Mapping,,,,https://vimeo.com/118358642,,Sonifcation is a video,https://vimeo.com/118358642,https://datadrivendj.com/tracks/subway/,,Two Trains
,AERO,Gregory Reeves,2014,Transportation,Mobility,,,Art,Art,,,,,,,Parameter Mapping,,,n,https://goo.gl/kOhgaU,https://sonificationart.wordpress.com/2017/06/06/aero-flight-time-music-generator/,,,,,AERO
,You will have to take my word for it,Brian House,2013,Road Safety,Mobility,,,Art,Art,,,,,,,Parameter Mapping,,,n,https://brianhouse.net/works/youll_just_have_to_take_my_word_for_it/,https://sonificationart.wordpress.com/2013/11/05/youll-have-to-take-my-word-for-it-car-crash-composition/,,,,,take my word for it
,Project: Autobahn,Tom Zimmerman,2013,Transportation,Mobility,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/zHW6qb,,,,,,Autobahn
,Quotidian Record,Brian House,2012,Geolocation,Mobility,,,Art,Art,,,,,,,Parameter Mapping,,,n,https://goo.gl/m0vA1j,https://sonificationart.wordpress.com/2017/06/05/quotidian-record-sonifying-everyday-life/,,,,,Quotidian Record
,New York Metro System (MTA),Alexander Chen,2011,Transportation,Mobility,,,Art,Art,Public,,Website,,Yes,Yes,Model Sonification,,,,http://mta.me/,,Sonification is an interactive webpage,http://mta.me/,,https://www.chenalexander.com/Bio,New York Metro System (MTA)
,Junction,Micah Frank,2010,Transportation,Mobility,,,Art,Art,,,,,,,Parameter Mapping,,n,1,https://goo.gl/nbWRmP,,,,,,Junction
,Baltic Sea Radio ,Varvara Guljajeva & Mar Canet Sola,2012,,Mobility,,,,Art,,,,,,,Parameter Mapping,,,1,http://var-mar.info/baltic-sea-radio/,,,,,,BalticSeaRadio
,Sonification of MBTA,Stephen Hensley ,2015,,Mobility,,,,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/avkzCd,,,,,,MBTA Sonification
,BIORHYTHMS – LONDON,Jon Pigren,2017,,Mobility,,,,Art,,,,,,,Parameter Mapping,,,1,https://jonpigrem.wordpress.com/2017/02/26/biorhythms-london/,,,,,,Biorhythms
,Geolocation,Georgios Cherouvim,2017,,Mobility,,,,Art,,,,,,,Parameter Mapping,,,1,https://vimeo.com/218106546,,,,,,Geolocation
,City Symphonies,Mark McKeague,2012,,Mobility,,,,Research,,,,,,,Parameter Mapping,,,1,https://markmckeague.com/work/city-symphonies,,,,,,CitySymphonies
,Ottawa Love Stories,Cassandra Marsillo ,2018,,Mobility,,,,Public Engagement,,,,,,,Parameter Mapping,,,1,https://ottlovestories.wordpress.com/,,,,,,OttawaLoveStories
,Noisy City. Audible Data Visualization in Brussels,Jetpack,2020,Environment,Physical Sciences,Earth Science,,Public Engagement,Public Engagement,Public,,Website,,Yes,Yes,Parameter Mapping,,,,https://noisy-city.jetpack.ai/?fbclid=IwAR2NVC7pgn44UhY3iomW1BLfFYENt3EIeEu2qab-xQxtcYpsoaIQZVjG3a0,,Sonification is an interactive webpage,https://noisy-city.jetpack.ai/?fbclid=IwAR2NVC7pgn44UhY3iomW1BLfFYENt3EIeEu2qab-xQxtcYpsoaIQZVjG3a0,,,Noisy City. Audible Data Visualization in Brussels
,Sounds from around the Milky Way,"NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (Matt Russo/Andrew Santaguida)",2020,Astronomy,Physical Sciences,Astronomy,,Inclusivity,Inclusivity,Public,,Player,,Yes,No,Parameter Mapping,,,,https://chandra.si.edu/photo/2020/sonify/animations.html,,"Sonifcation is a video, you can download it from the webpage",https://chandra.si.edu/photo/2020/sonify/animations.html,https://www.republicworld.com/technology-news/science/nasa-data-sonification-of-spaces-cosmic-reef-nebulae.html,,Sounds from around the Milky Way
,Mutual Air,Rosten Woo,2020,Environment,Physical Sciences,Earth Science,,Art,Art,Public,,,Public Venue (interactive installation),Yes/Installation,Yes,Parameter Mapping,,,,https://www.youtube.com/watch?v=NCP3KTBY-F0,,You can listen to the sonification in the news' video,No,,,Mutual Air
,Air Pollution During Lockdown,Pedro Sarmento,2020,Environment,Physical Sciences,Earth Science,,Data Analysis,Data Analysis,,,,,,,Parameter Mapping,,,,https://www.youtube.com/watch?v=uO5if7Xgi9M&feature=youtu.be,,,,,,Air Pollution During Lockdown
,Geminids Meteor Shower,Christian Basl,2020,Astronomy,Physical Sciences,Astronomy,,Public Engagement,Public Engagement,,,,,,,Audification,,,,https://kinder.wdr.de/radio/kiraka/nachrichten/klicker/geminiden-102.html,,,,,,Geminids Meteor Shower
,Loki's Pain,PerMagnus Lindborg,2020,Physical sciences,Physical Sciences,Earth Science,Geology,Art,Art,,,,,,,Parameter Mapping,,,,http://soundislands.com/2021/01/21/lokis-pain/?fbclid=IwAR1OZEdk5BcOf88TcLtjhqasTOWOJg6jwW_mfvUXpQU3Zcz79R16o3JHSvw,,,,,,Loki Pain
,Sonification of Multivariate Data to Illuminate Dynamics of Geyser Eruptions,"Anna Barth , Leif Karlstrom , Benjamin K. Holtzman , Arthur Paté , Avinash Nayak",2020,Physical sciences,Physical Sciences,Earth Science,Geology,Research,Research,,,,,,,Parameter Mapping,,,,https://direct.mit.edu/comj/article/44/1/35/99101/Sonification-and-Animation-of-Multivariate-Data-to,,,,,,Sonification and Animation of Multivariate Data
,Sonification of Hubble Telescope,NASA/Hubble/SYSTEM Sounds (Matt Russo/Andrew Santaguida),2019,Astronomy,Physical Sciences,Astronomy,,Public Engagement,Public Engagement,Public,,Player,,Yes/video,No,Parameter Mapping,,,,https://www.youtube.com/watch?time_continue=32&v=H-Ci_YwfH04&feature=emb_logo,,Sonifcation is a video,https://www.youtube.com/watch?v=H-Ci_YwfH04&feature=emb_logo,https://www.sciencealert.com/nasa-turned-this-hubble-image-into-strange-haunting-music,,Sonification of Hubble Telescope
,Mars Soundscape,NASA/Domenico Vicinanza,2018,Astronomy,Physical Sciences,Astronomy,,Public Engagement,Public Engagement,Public,,Player,,Yes/Video,No,Parameter Mapping,,,,https://www.youtube.com/watch?v=loXhsglsG-w&feature=emb_title,,Sonifcation is a video,https://www.youtube.com/watch?v=loXhsglsG-w&feature=emb_title,https://arstechnica.com/science/2018/11/the-sounds-of-a-martian-sunrise-inspire-short-musical-composition/,,Mars Soundscape
,Multivariable Data Sonification - Solar Activities,Gregorio Panerai,2018,Astronomy,Physical Sciences,Astronomy,,Scientific Investigation,Research,,,,,,,Parameter Mapping,,,,https://vimeo.com/500802823,,,,,,Multivariable Data Sonification - Solar Activities
,Astronomy Sounds of the Month,Greg Salvesen,2018,Astronomy,Physical Sciences,Astronomy,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,,https://astrosom.com/archive.html,,,,,,Astronomy Sounds of the Month
,56Fe (2018),Falk Morawitz,2018,Environment,Physical Sciences,Chemistry,,Art,Art,,,,,,,Parameter Mapping,,n,,https://soundcloud.com/falk-morawitz/56fe-2018,,,,,,56Fe (2018)
,The Conditional Orchestra,Rich Bultitude,2017,Metereology,Physical Sciences,Earth Science,Geography,Art,Art,Public,,Website,,Yes/Graphics,No,Parameter Mapping,,,,https://theconditionalorchestra.com/,,Sonification is an interactive webpage,https://theconditionalorchestra.com/,,https://medium.com/@pointbmusic/making-the-conditional-orchestra-df3149b17d23,The Conditional Orchestra
,TRAPPIST-1,SYSTEM Sounds,2017,Astronomy,Physical Sciences,Astronomy,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,,https://www.system-sounds.com/trappist-sounds/,,,,,,TRAPPIST-1
,Finland As Experienced By The Sea,Falk Morawitz,2017,Environment,Physical Sciences,Earth Science,Oceanography,Art,Art,,,,,,,Parameter Mapping,,n,,https://soundcloud.com/falk-morawitz/finland-as-experienced-by-the-sea,,,,,,Finland As Experienced By The Sea
,"An empty stream, a great silence, an impenetrable forest","Sara Lenzi, Stefano Silvestri, Giosue Grassia",2017,Environment,Physical Sciences,Earth Science,Geography,Art,Art,,,,,,,Parameter Mapping,,,,https://www.youtube.com/watch?v=q3nb-97PLRc,,,,,,An empty stream
,Res Extensae,Sara Lenzi,2017,Environment,Physical Sciences,Earth Science,Geography,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,,https://www.saralenzi.com/2017/9/13/res-extensae,,,,,,Res Extensae
,While I was not there,Sara Lenzi,2017,Environment,Physical Sciences,Earth Science,Geography,Art,Art,,,,,,,Parameter Mapping,,,,https://www.saralenzi.com/while-i-was-not-there,,,,,,While I was not there
,Sonification of the Total Solar Eclipse August 2017,Wayne Grim,2017,Astronomy,Physical Sciences,Astronomy,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/ODk4tF,,,,,,Sonification of the Total Solar Eclipse August 2017
,Fathom; Hudson River Environmental Data as Music,Ben Neill and Mimi Goese,2016,Environment,Physical Sciences,Earth Science,,Art,Art,,,,,,,Parameter Mapping,,,,https://benneill.com/portfolio/fathom/,,,,,,Fathom
,Inner Resonance,Falk Morawitz,2016,Chemistry,Physical Sciences,Chemistry,,Art,Art,,,,,,,Audification,,n,,https://soundcloud.com/falk-morawitz/03-inner-resonance-falk-morawitz-48khz-24bit,,,,,,Inner Resonance
,From Hipparchus to Hipparcos-a sonification of stellar catalogues,Jamie Ferguson and European Space Agency,2016,Astronomy,Physical Sciences,Astronomy,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,1,https://goo.gl/8NXCgJ,,,,,,From Hipparchus to Hipparcos-a sonification of stellar catalogues
,"Artefact, Digital Necrophony","Mathilde Lavenne and Daniel Cabanzo, IRCAM",2016,Geology,Physical Sciences,Earth Science,Geology,Art,Art,,,,,,,Parameter Mapping,,,n,https://vimeo.com/172204876,https://sonificationart.wordpress.com/2017/05/19/artefact0-digital-necrophony/,,,,,Artefact - Digital Necrophony
,The Four Inner Planets,"Michael Quinton, David Benyon, Iain McGregor. Edinburgh Napier University.",2016,Astronomy,Physical Sciences,Astronomy,,Data Analysis,Data Analysis,,,,,,,Parameter Mapping,,,1,https://goo.gl/3J9x2J,,,,,,The Four Inner Planets
,Chirp,LIGO Research Centre,2016,Astronomy,Physical Sciences,Astronomy,,Scientific Investigation,Research,,,,,,,Audification,,,1,https://www.nytimes.com/2016/02/12/science/scientists-chirp-excitedly-for-ligo-gravitational-waves-and-einstein.html,,,,,,Chirp
,Aqualitative,"Jon Bellona, John Park, and John Reagan",2016,Environment,Physical Sciences,Earth Science,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/YhkSeP,,,,,,Aqualitative
,Pacific Belltower,PerMagnus Lindborg,2016,Physical sciences,Physical Sciences,Earth Science,,Art,Art,,,,,,,Parameter Mapping,,,,http://soundislands.com/2020/01/16/pacific-belltower/?fbclid=IwAR3EDFr3AYAnb7hXiq5amf8BYQFa5n1qjMyQTvpdvxryv1ohPTb8Vxb4lPo,,,,,,Pacific Belltower
,Seismic Activity in Oklahoma,Reveal News,2015,Geology,Physical Sciences,Earth Science,,Data Journalism,Data Journalism,Public,,Player,,No,No,Parameter Mapping,,,,https://soundcloud.com/thisisreveal/the-oklahoma-shakes,,Sonification is on Soundcloud,No,https://www.revealnews.org/article/listen-to-the-music-of-seismic-activity-in-oklahoma/,,Seismic Activity in Oklahoma
,Too Blue,Brian Foo,2015,Environment,Physical Sciences,Earth Science,,Art,Art,,,Player,,Yes,No,Parameter Mapping,,,,https://vimeo.com/137262980,,Sonifcation is a video,https://vimeo.com/137262980,https://datadrivendj.com/tracks/louisiana/,,Too Blue
,Music Eclipticalis,Brian Foo,2015,Astronomy,Physical Sciences,Astronomy,,Art,Art,,,Player,,Yes,No,Parameter Mapping,,,,https://vimeo.com/186860448,,Sonifcation is a video,https://vimeo.com/186860448,https://datadrivendj.com/tracks/stars/,,Music Eclipticalis
